Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption,TotalUsage
1,18,Sunday,No,-0.45126630885830493,52.85166419960819,-0.0529586803909387,-0.8864739665694564,Off,Off,1.011314069422981,73.35070513237227,0
1,19,Sunday,Yes,-1.4567883942404853,40.918499706064985,-1.341347924992537,1.1782945891047436,Off,On,0.5775265130428425,66.20209750906106,1
1,20,Sunday,Yes,-0.587771610446757,33.08814922387616,-1.1050488667196277,0.49003840388001024,Off,On,0.04954035886536696,77.85177634998958,1
1,21,Sunday,No,1.6575482642562653,51.19663001184678,0.03189672872677801,-0.8864739665694564,On,Off,0.09870616524861267,90.98147610427824,1
1,22,Sunday,Yes,-0.6798817999383593,30.35776228999121,-1.1761269274298596,0.834166496492377,On,On,-0.19775356323587936,81.91707933111346,2
1,23,Sunday,Yes,-0.10813018087467216,49.04122554864104,0.5412172025002088,0.49003840388001024,Off,On,0.6988723148024194,70.22461753933254,1
1,0,Monday,No,0.7910433383739389,36.25924919238827,-1.64576856911611,0.49003840388001024,Off,On,0.7616573508706098,88.73376918202806,1
1,1,Monday,Yes,1.4762957374244579,48.84844941310104,-0.9324501838504753,-0.8864739665694564,Off,Off,-0.9325258327651619,76.55502512631448,0
1,2,Monday,No,-1.0497877611504032,45.5386430923988,0.02532713238020565,-0.19821778134472307,Off,Off,-0.5848619765003914,62.05505493579667,0
1,3,Monday,No,-0.928070600037925,47.34391565524731,1.4046116068705532,0.49003840388001024,Off,Off,-1.0756929798312993,62.00189386466329,0
1,4,Monday,Yes,-1.1909247558728628,33.61505670735282,1.1935988087881952,1.5224226817171103,On,On,-0.18319196000541277,80.45212742101157,2
1,5,Monday,No,-0.9403682800713392,43.83891693254598,-0.620238483171403,0.1459103112676436,Off,Off,-0.31960849176577943,64.71822006448231,0
1,6,Monday,Yes,1.6473006996097401,56.78880560031188,1.2190629553322556,1.1782945891047436,On,Off,-1.1208300703097795,91.87196450897233,1
1,7,Monday,No,-0.8155409896932224,45.228409421067546,1.348947409765897,0.49003840388001024,Off,On,-1.5972006949113706,69.69226303092958,1
1,8,Monday,No,-1.264656098979858,52.70577939457823,1.328519639921119,0.834166496492377,Off,Off,1.0710306790299486,63.85097612559908,0
1,9,Monday,Yes,0.02511346247521742,43.58649903471925,-0.2486265492476725,-1.230602059181823,Off,Off,-1.4226609451637944,68.80528577996184,0
1,10,Monday,Yes,-0.1267864111488293,37.03931988895259,0.6210888441925074,-0.5423458739570898,Off,Off,0.669553963115058,76.30130928798148,0
1,11,Monday,No,0.7884856713476438,33.68329828659663,-1.0909926544553727,-0.8864739665694564,Off,On,0.26897401154365214,84.03868416047865,1
1,12,Monday,No,0.4151454929414558,40.77160427979762,-1.599105658653898,-1.230602059181823,Off,Off,-0.046032611679504024,77.67379217139589,0
1,13,Monday,Yes,0.4155620329421003,42.084182961399954,-1.3939915763453405,0.834166496492377,Off,Off,-1.4904894260604433,78.9122501589774,0
1,14,Monday,Yes,-1.1327437333617887,43.35331518509382,0.13341063457604577,1.5224226817171103,Off,Off,0.6066660784530814,64.04242487840129,0
1,15,Monday,No,0.14333080495867326,51.90269994964382,-0.5344150584956098,-1.5747301517941896,Off,Off,1.3703235268113494,78.18728130362722,0
1,16,Monday,No,-1.2308092684484355,49.61036981078196,0.07592137713310956,0.834166496492377,Off,On,0.21691900003505604,63.39384819262403,1
1,17,Monday,No,-1.123363471621131,42.01688338628461,0.5224248309693177,1.1782945891047436,On,Off,-0.8218772025961775,76.1061781008304,1
1,18,Monday,Yes,-0.14632777515771941,48.58331043267368,0.42382780264231823,1.5224226817171103,Off,Off,1.037032200782821,60.14423797781192,0
1,19,Monday,No,-0.21572474503143454,36.98773403191924,1.1599169998986123,0.49003840388001024,On,Off,-0.46373778721723696,80.19264551142784,1
1,20,Monday,Yes,0.7857627300736466,50.87667729455613,-1.2428378923111059,0.834166496492377,On,On,1.3566103624898913,86.22364506793032,2
1,21,Monday,No,-1.384607200411547,48.506636238037885,1.1228910204151694,-0.19821778134472307,Off,On,-0.6450062228898915,53.26327834004948,1
1,22,Monday,Yes,-0.709865053381986,43.9510486471958,-1.273892157849175,0.49003840388001024,Off,Off,0.5637089619321188,64.963183670906,0
1,23,Monday,No,-1.0830256009602006,56.13704538377151,-1.2513792582219971,1.1782945891047436,Off,On,0.47090541746782827,66.43892064888173,1
1,0,Tuesday,No,0.044078250732069425,59.67153433028882,1.3315428093779198,1.1782945891047436,Off,Off,-0.08839931562917715,75.91390632236421,0
1,1,Tuesday,Yes,0.2780614072985024,33.892215875037266,1.1682206640690656,0.834166496492377,On,Off,1.1658620290692572,84.1914674081221,1
1,2,Tuesday,Yes,0.47322579010066873,43.295777618025824,1.1742529130977004,0.1459103112676436,On,Off,0.24800567395344023,75.25176382432235,1
1,3,Tuesday,Yes,-0.9227955869378175,49.42487793686675,-1.6041201416522664,0.834166496492377,Off,On,-1.2965409683658973,75.0144709786204,1
1,4,Tuesday,No,-0.25351917994166107,41.80015037049925,-1.0534258891203383,0.49003840388001024,Off,Off,0.35707578992650724,69.36574478049252,0
1,5,Tuesday,Yes,-0.09163003908212881,43.14091041789855,-0.6704752383874966,-1.5747301517941896,Off,On,0.8447745603712091,78.04604233404717,1
1,6,Tuesday,Yes,-1.3533789873546676,52.19017625682678,0.9029899326285956,0.834166496492377,Off,Off,0.7109997927364424,67.48478775030759,0
1,7,Tuesday,No,0.24854104448688552,53.31665481703489,-1.559391664177209,1.1782945891047436,On,Off,1.2686499033890406,78.25428789721424,1
1,8,Tuesday,No,-0.8751465265749034,40.65991340311216,0.6191625589669694,-0.19821778134472307,On,On,0.4646908458881971,74.84338094009375,2
1,9,Tuesday,No,-1.5090306949550656,52.95666984491464,-1.218342655913532,1.1782945891047436,On,Off,0.6407861918798405,64.64191192860432,1
1,10,Tuesday,No,1.5448513698442963,42.51360621060932,-0.30639529278037486,0.834166496492377,On,On,-0.8131042081448479,89.08843429796624,2
1,11,Tuesday,No,-1.3810285654852452,39.363068123724446,1.363834781672127,-1.5747301517941896,On,On,-0.3610313494784527,73.15432864841176,2
1,12,Tuesday,No,0.7753008774873869,48.59586683094426,-0.5425307059613954,0.834166496492377,Off,On,-1.436253529762658,72.1170986136019,1
1,13,Tuesday,Yes,0.026131704262818925,48.09543819655122,0.6966690310912791,0.834166496492377,On,On,-1.653360266979842,76.72156432900981,2
1,14,Tuesday,Yes,-1.3220062553329712,46.18534283672064,0.38260731304544787,0.834166496492377,Off,On,0.1733810952688346,65.97246106658439,1
1,15,Tuesday,Yes,0.09622974275101061,43.07836640910352,0.3220888779675807,-0.5423458739570898,Off,Off,-1.6389310105441548,61.53670969150112,0
1,16,Tuesday,Yes,-0.19880602559704824,47.40595643763173,-1.3810057704318417,1.1782945891047436,Off,Off,-1.5164568981682485,77.38447783546265,0
1,17,Tuesday,Yes,0.17536192885253835,55.32138505998299,-0.33817190467086167,0.834166496492377,On,Off,0.8663960777229301,76.07661992033586,1
1,18,Tuesday,Yes,1.4477823607621163,30.885380029218144,-1.5774085735144516,-1.230602059181823,Off,Off,1.3341481110455393,74.8678736943382,0
1,19,Tuesday,Yes,1.6452041415446776,42.42525804881877,0.5880568001506165,-0.19821778134472307,Off,On,-0.1363036923530497,86.28935401350225,1
1,20,Tuesday,No,0.5511844708521162,37.72919218018745,-0.49863356623615845,0.49003840388001024,Off,Off,1.310942369189225,83.87525695191415,0
1,21,Tuesday,Yes,-0.46213340991605034,34.5349059413692,0.6989630185895499,1.1782945891047436,Off,Off,1.5369501355035793,83.45804939133072,0
1,22,Tuesday,No,-0.18256647867734954,53.03415959323223,1.6218070084166318,1.1782945891047436,On,On,0.5773705922126553,81.99682840223484,2
1,23,Tuesday,Yes,0.9233775198887689,39.848106673676696,-0.5186240238416767,1.1782945891047436,On,Off,-0.912791673510757,86.64692164178189,1
1,0,Wednesday,Yes,0.44061779291752234,40.70675768151472,-0.419892296598132,-0.5423458739570898,On,On,-0.5993430378302735,75.98238074965289,2
1,1,Wednesday,No,-1.3043165944245116,58.11562860796074,-1.1187205449963313,1.5224226817171103,Off,Off,-0.7234316930954487,70.71436235851863,0
1,2,Wednesday,No,0.5158977355347857,58.65666760689435,-0.4015618966597004,1.1782945891047436,Off,Off,1.1722436299175623,81.7455295095431,0
1,3,Wednesday,Yes,1.5582884906292913,33.99960255410263,-0.3000196939371198,0.1459103112676436,On,On,-0.35572379167872026,85.18255250346287,2
1,4,Wednesday,Yes,-0.8474143037448544,54.38705918903003,-1.1609833753877268,1.5224226817171103,On,Off,1.0752534965424918,75.29040593436996,1
1,5,Wednesday,No,-0.3352385165248379,53.67575902279949,-1.0719310678203409,1.5224226817171103,On,On,-0.9484332624021633,85.18197378804605,2
1,6,Wednesday,No,-1.354707337729589,39.19961425336057,0.22553477878112949,1.5224226817171103,On,On,1.3582814382423503,72.76703721222391,2
1,7,Wednesday,No,1.0813157869072008,54.70047192364585,-0.29940815620555283,0.1459103112676436,Off,On,0.6757968027036391,81.81977544986103,1
1,8,Wednesday,Yes,-0.674649140276421,54.115116406603335,-0.4876266966800689,0.49003840388001024,On,On,-0.48186464463308626,78.64588465860416,2
1,9,Wednesday,No,-1.0872858216336716,59.41123031214244,-0.8505338361135591,-1.5747301517941896,Off,On,1.6007354297479328,66.95161483968974,1
1,10,Wednesday,No,-1.0901234610972221,50.47608150964855,1.3008362495101875,-0.19821778134472307,Off,Off,-1.0406378786851835,71.17906441062561,0
1,11,Wednesday,No,-0.7125682301774717,58.58018635300594,-0.9589468312303214,-1.230602059181823,Off,Off,1.093135215054932,63.861910204942966,0
1,12,Wednesday,Yes,-1.6032881024922259,54.008592805457226,-0.16900665337948237,0.1459103112676436,On,On,-1.148889607921769,61.130942848363965,2
1,13,Wednesday,Yes,0.8353900365133355,38.514506831605054,-1.2874184075121822,-0.8864739665694564,Off,On,-0.6978569830831809,79.72428614261031,1
1,14,Wednesday,Yes,1.1808237718598575,49.96585219450951,0.01615343804102926,-0.19821778134472307,Off,On,-0.5889429256686538,81.89398685671573,1
1,15,Wednesday,No,1.4171891559008836,38.18426699137763,-0.7281344022936971,-1.230602059181823,Off,On,0.6511261500284251,85.36040306812063,1
1,16,Wednesday,Yes,-0.6330606653307534,47.87589415373565,0.3527256102073741,1.1782945891047436,On,Off,1.4037246052135848,77.77646909816677,1
1,17,Wednesday,No,-0.06757452227390782,38.02144715813855,1.3289453995664724,-0.8864739665694564,On,On,0.8771930391201603,87.74800460069132,2
1,18,Wednesday,Yes,0.8076389886709271,33.03160262596282,-0.9213262492759595,0.1459103112676436,Off,Off,-0.10939541985869776,72.3960115782119,0
1,19,Wednesday,No,0.5127779696417901,56.16762904744485,-0.7060644304914324,-0.5423458739570898,Off,Off,-0.25873355831214384,69.56901196476844,0
1,20,Wednesday,Yes,-0.7465856596310342,47.26094946562805,-1.6005450024767693,0.49003840388001024,Off,Off,0.6296453077992596,73.2522162580531,0
1,21,Wednesday,Yes,-0.346590185049133,49.395078840518686,1.2965221391774622,1.5224226817171103,Off,Off,-1.3248497242356065,75.81440197116459,0
1,22,Wednesday,No,1.3499118079086296,39.08467957030161,-0.9742035288961302,1.1782945891047436,Off,Off,-0.8548591195911646,86.53486772687651,0
1,23,Wednesday,Yes,0.7764908852406079,58.56743563116402,-0.9135672969037107,1.1782945891047436,Off,On,0.7655829202866005,81.19093782580337,1
1,0,Thursday,No,-1.3758131951531627,30.50361681291639,0.7799308975723965,-0.19821778134472307,On,Off,-0.6958057687669451,76.93645309620132,1
1,1,Thursday,No,-0.9482690596819237,57.56876666379654,-1.0338205486366119,-1.230602059181823,Off,Off,-1.0743495364056754,64.5953373760119,0
1,2,Thursday,No,1.2942708478617078,39.63866758953277,0.31607804769155007,1.5224226817171103,Off,On,-1.0189936838482039,81.1090189124048,1
1,3,Thursday,Yes,-0.26954007868155677,47.96403459334165,-1.089319799131826,-0.5423458739570898,On,On,1.3918272826185707,70.25774284987176,2
1,4,Thursday,No,-0.9540798283179638,33.324257898503895,0.7767427890990036,-1.5747301517941896,On,On,-0.045912790747931205,65.98142190071894,2
1,5,Thursday,Yes,-0.48580332422914324,31.1850040594187,1.1448179725579855,-0.19821778134472307,On,On,-1.2160754653628865,76.19515389291618,2
1,6,Thursday,Yes,-0.2712043701796352,36.22531924874789,0.44124352949424245,-1.230602059181823,Off,Off,-0.3739166564819574,72.16382017990225,0
1,7,Thursday,No,0.8568570179679963,34.53818230472783,-1.4817827425914332,-0.5423458739570898,Off,Off,0.2620515642948199,74.11809532316923,0
1,8,Thursday,No,-1.1889307934171582,36.94767020118629,0.03615407357278854,-0.8864739665694564,On,Off,-0.6219523619236081,73.92814359788368,1
1,9,Thursday,No,1.1841322272477026,34.65484006352291,-1.400616533283687,-0.5423458739570898,On,Off,0.8326917592417273,80.51166202577497,1
1,10,Thursday,No,-0.3777047621824162,59.35728858868117,-1.2589691517926902,-0.8864739665694564,Off,On,0.9846236929636365,68.56408772167514,1
1,11,Thursday,No,-0.05854030563743277,46.22169249552975,-1.474361015475004,-0.19821778134472307,Off,On,0.2927837342322134,71.4275936133967,1
1,12,Thursday,No,-1.1985657640543348,52.101508633912886,1.4246711046705653,-1.5747301517941896,On,Off,1.004845581997991,64.0769676381083,1
1,13,Thursday,No,-0.7315278106384855,35.89964365502057,-0.9478957715808124,-1.230602059181823,Off,On,-0.8127433032627863,57.48444204410177,1
1,14,Thursday,No,1.4833945731520384,56.40345028566804,0.740974734158232,1.5224226817171103,Off,Off,-1.507319902473126,82.59776720138095,0
1,15,Thursday,Yes,-0.06683418152933826,43.279525236359945,-0.8689084012728598,-0.8864739665694564,Off,Off,1.1972438785640813,77.51805130415416,0
1,16,Thursday,No,-1.1253326632965222,33.25524914434561,-0.4288617536707571,0.834166496492377,Off,Off,-0.3988758832071568,71.01713960978869,0
1,17,Thursday,Yes,0.18894338685657197,48.27578381746096,-0.705173954146269,-1.5747301517941896,Off,Off,-0.5521083946976675,64.69791035517181,0
1,18,Thursday,No,0.41424347898325226,46.43151994704209,0.5176923643513146,1.5224226817171103,On,Off,-0.503189478109695,76.30888108689255,1
1,19,Thursday,Yes,1.1650798846863053,44.50404118903296,1.150983980563291,-1.5747301517941896,Off,On,1.5452950748980545,80.0038474890762,1
1,20,Thursday,Yes,-0.2173803218068841,39.68855486724439,-1.0662099316206055,-0.5423458739570898,Off,Off,0.8942729399315502,72.10407562222572,0
1,21,Thursday,Yes,1.5236690752077418,45.41719161087126,-0.36621694548043315,0.49003840388001024,On,Off,1.4032364613578776,93.78946764246312,1
1,22,Thursday,No,-0.9830818526764753,45.7831224913396,0.043461336121358426,0.834166496492377,On,On,1.4483518757973322,78.13896312348292,2
1,23,Thursday,No,0.0720299504934665,39.60412761994733,0.04343945018266392,-0.5423458739570898,On,On,-1.3398533436830995,87.32448956439137,2
1,0,Friday,Yes,-0.3060725422308336,47.94053553498296,0.20769847345630604,-0.5423458739570898,Off,Off,-0.0226469303635867,74.17904403679803,0
1,1,Friday,No,-0.7097646223630502,34.07807563816202,0.6944169904106336,-1.5747301517941896,Off,On,0.29980558594615586,69.91514117978062,1
1,2,Friday,Yes,0.35972958778255465,47.538231978862726,-0.04481466789945144,1.1782945891047436,On,On,-0.41952711336759246,91.59435479545417,2
1,3,Friday,Yes,-1.3645476216050825,34.411356370926754,-0.7264773518536094,0.1459103112676436,Off,Off,1.2175820269484536,76.13895450681913,0
1,4,Friday,No,0.001530924038824031,35.683034671331846,0.34233913748856293,1.5224226817171103,On,On,0.5237346436095485,70.97691337938971,2
1,5,Friday,No,-0.06776646158477448,46.133899775987565,0.07191125142281865,-0.19821778134472307,On,On,1.210470706051217,79.4339400188436,2
1,6,Friday,No,0.7928100604341748,36.16290662042438,-1.5462439146224902,-0.5423458739570898,Off,On,1.3711709412060165,77.65217034892018,1
1,7,Friday,Yes,-0.6616287092049763,34.016836004984576,-1.4513643059319825,-0.5423458739570898,On,On,-0.6161513315321065,74.11609389205148,2
1,8,Friday,No,-0.912723922657414,41.10062846608015,-0.5818611497296041,-0.19821778134472307,Off,On,0.3850003571929117,67.63764065291417,1
1,9,Friday,Yes,-0.9505629402769152,47.31027361626275,-0.6597872994427645,0.49003840388001024,On,On,1.568188578445177,72.59022722499552,2
1,10,Friday,No,1.6024604734021228,37.03244970007737,0.5129725595758471,0.49003840388001024,Off,On,1.4891048956651616,85.12072843207085,1
1,11,Friday,No,-0.13730177479064903,39.48944934390285,0.2747241575965005,-1.5747301517941896,On,Off,0.07890854007138642,76.92758507734762,1
1,12,Friday,Yes,1.5256353504120257,53.87531481251021,0.33130360302055895,-1.230602059181823,On,Off,1.1441114006633422,82.96293306052968,1
1,13,Friday,Yes,1.319878273188802,43.88354637574899,0.6121652177694659,-1.5747301517941896,On,On,-0.9697033739688725,77.22008603312915,2
1,14,Friday,No,-0.17681242442544526,43.31585056823559,-0.6686276385710918,-0.5423458739570898,Off,Off,0.5668635469115907,71.13106167742689,0
1,15,Friday,No,-0.2785593775476495,45.08272117889668,0.8216252609176373,-0.8864739665694564,Off,On,1.3145590940569845,69.27222198435854,1
1,16,Friday,No,0.5467328577776217,59.72756652655453,0.9860062847120413,0.834166496492377,Off,On,-0.1350071517640816,82.23684827593902,1
1,17,Friday,Yes,1.4444101015140753,46.06150305882551,0.9125719080976259,0.1459103112676436,On,Off,0.022866507307561124,83.33161598574218,1
1,18,Friday,Yes,1.0187985519475364,39.32440919441908,-1.3205495364602278,-0.5423458739570898,On,Off,0.6591375572261519,95.0709621683288,1
1,19,Friday,No,-0.06644036003096054,30.16745157755969,1.2236911957369798,-1.5747301517941896,On,On,-0.7187712232180751,79.80025010450828,2
1,20,Friday,No,-0.0024287795176625156,40.48957381280836,0.0996991378768904,-0.19821778134472307,On,Off,-0.4057415974520956,78.73050081593509,1
1,21,Friday,Yes,-0.786773786736388,41.04818250308767,-0.6490285182363887,-1.230602059181823,On,On,-0.0012728007278486715,85.42767734648194,2
1,22,Friday,No,0.37092407887116857,35.517320879415294,0.08352309848990469,0.49003840388001024,Off,On,-0.9700607072582217,84.03168982758035,1
1,23,Friday,No,-1.4184816242322842,50.95243488485451,-1.7160216534416395,0.1459103112676436,On,On,1.21861800167893,72.89058361910637,2
1,0,Saturday,No,0.2524884238918056,42.29866536535226,1.6778266310728267,-1.230602059181823,On,On,1.5688594955315898,75.6149818889058,2
1,1,Saturday,No,-1.3257269076968168,31.71009383031899,-0.07035508041128419,0.1459103112676436,Off,On,-1.1898415577313726,71.7896472154404,1
1,2,Saturday,No,0.08500058872493453,48.64990087503028,0.08803615064535103,-0.5423458739570898,Off,Off,-1.2173769814112454,63.00815765839373,0
1,3,Saturday,No,0.33856451451712005,38.48415291778864,0.30030405455380044,-0.19821778134472307,On,On,0.10965446984800506,94.55062457295648,2
1,4,Saturday,Yes,0.9139261732410123,53.33917901612849,0.8335193027369023,-0.8864739665694564,On,Off,0.7040277335526942,83.5768305363592,1
1,5,Saturday,Yes,0.10005260056870023,33.634974769812565,1.0762725127132968,-0.19821778134472307,On,On,-1.172823481824147,84.69317340818874,2
1,6,Saturday,No,0.4754195665382616,52.9465256954574,-0.41036603428001894,-0.8864739665694564,Off,Off,-1.150140418183744,78.58613842129708,0
1,7,Saturday,No,0.15021041443564362,38.21610476774064,0.7932940244021401,-0.8864739665694564,On,Off,1.5200458869384195,75.64668454750125,1
1,8,Saturday,Yes,-0.753277659867905,54.16381828595459,-1.4360339451641086,0.834166496492377,Off,On,-0.7013265601840339,73.2068674222959,1
1,9,Saturday,No,-0.6040159580365622,53.8319018791167,-0.0802806711833691,-1.230602059181823,On,Off,1.4155880163354708,74.33393532360886,1
1,10,Saturday,Yes,-0.16969691795234865,37.29842102013082,-0.2869309927398094,1.5224226817171103,On,On,0.43074659862938286,81.30053662729328,2
1,11,Saturday,No,-0.3874415820850217,49.08568112892719,-0.6651137626652557,0.834166496492377,On,Off,0.16952325080658154,78.22920748795471,1
1,12,Saturday,No,0.23882659033006165,55.43730017771927,-0.5249884340879029,-1.5747301517941896,Off,Off,-0.10331308683303107,75.41031586036098,0
1,13,Saturday,No,-0.26898087290877554,56.93177700607938,0.5435031946993147,-0.5423458739570898,On,On,1.0524406241733877,71.18623045897634,2
1,14,Saturday,Yes,1.508264763997773,35.29794526902682,1.5077048746910127,-0.8864739665694564,Off,On,-0.6044321287508398,92.8609254933263,1
1,15,Saturday,No,0.33536401667119603,38.733821285228224,0.3723938830898373,0.834166496492377,On,On,1.3310275012421824,82.10276684430163,2
1,16,Saturday,Yes,-0.0677202931866018,45.39176155603927,0.6081902942549575,-0.19821778134472307,On,On,0.14991788348492727,78.28652837883581,2
1,17,Saturday,No,1.6466812228419467,55.09653944204392,-1.3653217029378721,0.1459103112676436,Off,Off,1.2879738168791213,86.08746919457022,0
1,18,Saturday,Yes,-0.8854174979755793,39.75479364053831,1.3362688985259137,0.834166496492377,On,Off,1.2806444481449375,74.57680497677092,1
1,19,Saturday,Yes,-0.13270468366802665,31.32913857960157,0.1680414077789018,1.5224226817171103,On,On,-0.605845514485259,90.53846528743108,2
1,20,Saturday,Yes,-0.19887277390410465,43.53846921199087,-0.5974244046685356,-0.5423458739570898,On,Off,1.0649794245392246,76.76832119015009,1
1,21,Saturday,No,0.8741949254609016,58.522580321681176,0.22489525898664897,1.1782945891047436,Off,On,-0.5623341859706814,86.41515216046992,1
1,22,Saturday,No,0.25269467200895634,57.644341784000936,0.39703982137119964,0.1459103112676436,On,On,1.2820256113549318,76.19438265142527,2
